,wind speed at 10,maximum wind,EOF,south america,KDE,PDF,PCA,cyclone
shapiro1990life.md,0,0,0,0,0,0,0,1
hersbach2020era5.md,0,0,72,1,4,1,0,7
gozzo2017climatology.md,0,0,0,14,0,0,0,87
gramcianinov2019properties.md,0,4,2,42,0,0,0,286
simmonds2000variability.md,0,0,18,0,0,0,0,126
sinclair1994objective.md,0,0,0,0,0,0,0,0
andrade2024composite.md,0,0,0,4,0,0,0,139
yanase2014parameter.md,0,0,29,0,0,0,0,261
bjerknes1922life.md,0,0,0,0,0,0,0,0
simmonds2000size.md,0,0,18,0,0,0,0,75
vera2002cold.md,0,0,50,20,0,0,0,39
coutodesouza2024new.md,0,0,18,11,14,2,0,213
chen2024evaluation.md,0,0,11,0,0,7,1,103
corner2025classification.md,0,0,50,0,7,3,58,91
sinclair1995climatology.md,0,0,0,8,0,0,0,288
zscheischler2018future.md,0,0,0,0,0,0,0,2
martinez2014cold.md,0,6,53,0,0,0,0,145
padilhareinke2026characterization.md,0,3,27,8,0,0,0,157
gentile2023observed.md,0,3,16,0,0,4,0,101
hoskins2005new.md,0,0,32,12,20,0,0,38
mendes2010climatology.md,0,0,11,20,0,0,0,126
neu2013intercomparison.md,0,0,0,0,0,0,0,236
hyeok2024extrem.md,0,0,22,0,0,2,0,107
dossantos2023response.md,0,0,1,36,0,0,0,30
bretherton1992intercomparison.md,0,0,0,0,0,0,0,0
deSouza2025CycloPhaser.md,0,0,0,1,0,0,0,43
chen2025characteristics.md,0,0,54,0,0,0,0,78
sun2022evaluation.md,0,0,205,0,0,0,0,0
graf2017objective.md,0,0,55,0,0,0,10,117
laurila2021characteristics.md,0,12,48,0,2,0,0,246
browning1986conceptual.md,0,0,0,0,0,0,0,0
dalanhese2023new.md,0,0,14,21,0,0,0,80
simmonds2000mean.md,0,0,20,0,0,0,0,113
Laureanti2024relation.md,0,0,100,9,0,0,0,0
hart2003cyclone.md,0,0,58,0,0,0,0,637
blanchard2021warm.md,0,0,43,0,0,0,0,29
gozzo2013air.md,0,0,7,1,0,0,0,137
clark2005sting.md,0,1,48,0,1,0,0,30
oertel2021warm.md,0,0,33,0,1,0,0,115
simmonds1999southern.md,0,0,10,0,0,0,0,76
padilhareinke2024objective.md,0,0,52,1,0,0,0,175
inatsu2004zonal.md,0,0,7,1,0,0,0,21
gentile2025response.md,0,0,0,0,0,0,0,122
sinclair1997objective.md,0,0,17,2,3,0,0,198
liang2018multivariate.md,0,0,86,0,0,0,0,0
reboita2022from.md,0,0,26,2,0,2,0,230
eisenstein2023identification.md,0,0,43,0,4,0,1,136
hesterberg2015bootstrap.md,0,0,31,0,0,2,2,0
catto2015front.md,0,0,48,0,0,0,0,49
reboita2026meteorology.md,0,2,1,156,0,1,0,61
evans2012climatology.md,0,0,16,4,0,0,0,27
coutodesouza2024thesis.md,0,0,132,37,8,23,0,863
catto2016extratropical.md,0,1,0,1,0,2,0,521
gramcianinov2024early.md,0,0,1,12,0,1,0,163
han2025system.md,0,0,76,0,10,0,0,90
weglarczyk2018kernel.md,0,0,0,0,0,16,0,0
reboita2010south.md,0,0,10,9,0,0,0,88
schemm2014ccb.md,0,0,58,0,1,0,0,56
priestley2022improved.md,0,2,0,0,3,0,0,141
bitencourt2010relating.md,0,1,3,7,0,0,0,121
marrafon2022classificacao.md,0,0,0,4,0,0,0,39
bartolomei2024extremos.md,0,0,2,7,0,1,0,20
dejesus2021multimodel.md,4,1,2,26,0,0,0,185
sinclair2023relationship.md,0,0,62,0,0,0,0,123
schultz2021antecedents.md,0,0,9,0,0,0,0,152
IPCC2021_WG1_Chapter11_Extremes.md,0,5,6,113,0,3,1,253
masson2022tendencias.md,0,0,0,0,0,0,0,0
machado2020influence.md,0,0,18,8,0,0,0,40
shapiro1999bridge.md,0,1,3,0,0,0,0,438
russo2025impacts.md,0,1,1,6,0,0,0,262
gramcianinov2020analysis.md,0,2,2,12,0,0,0,139
rieger2024xeofs.md,0,0,32,0,1,0,19,0
clark2018sting.md,0,0,127,0,0,1,0,190
hannachi2007empirical.md,0,0,505,0,0,0,12,1
stankovic2025surface.md,0,0,28,0,0,4,1,105
rocha2016estudo.md,0,0,5,0,0,0,0,12
gozzo2014subtropical.md,0,0,30,2,0,2,0,154
hannachi2023eof.md,0,0,129,0,0,2,0,0
cardoso2022synoptic.md,6,5,1,1,0,0,0,81
gan1991surface.md,0,0,0,0,0,0,0,0
reboita2018extratropical.md,0,0,7,3,0,0,0,184
browning1986conceptual_rev.md,0,0,1,0,0,0,0,0
crespo2020potential.md,0,0,10,3,0,0,0,53
gan1994influence.md,0,0,0,0,0,0,0,0
wilks2019statistical_ch13.md,0,0,166,0,0,0,142,2
naud2020evaluation.md,0,0,24,0,0,1,0,203
sasaki2021intraseasonal.md,0,0,153,6,8,0,0,68
gramcianinov2023impact.md,1,0,1,7,0,0,0,260
miranda2026patterns.md,0,0,50,9,0,0,0,43
hodges2011comparison.md,0,0,23,1,7,1,0,87
