,wind speed,windspeed,maximum wind,precipitation,EOF,south america,southamerica,KDE,PDF,PCA,cyclone
shapiro1990life.md,0,0,0,0,0,0,0,0,0,0,1
hersbach2020era5.md,2,2,0,35,72,1,0,4,1,0,7
gozzo2017climatology.md,0,0,0,16,0,14,0,0,0,0,87
gramcianinov2019properties.md,5,0,4,12,2,42,0,0,0,0,286
simmonds2000variability.md,0,0,0,0,18,0,0,0,0,0,126
sinclair1994objective.md,0,0,0,0,0,0,0,0,0,0,0
andrade2024composite.md,3,0,0,7,0,4,0,0,0,0,139
yanase2014parameter.md,0,1,0,0,29,0,0,0,0,0,261
bjerknes1922life.md,0,0,0,0,0,0,0,0,0,0,0
simmonds2000size.md,0,0,0,1,18,0,0,0,0,0,75
vera2002cold.md,0,0,0,25,50,20,16,0,0,0,39
coutodesouza2024new.md,0,0,0,3,18,11,3,14,2,0,213
chen2024evaluation.md,47,18,0,93,11,0,0,0,7,1,103
corner2025classification.md,9,16,0,48,50,0,0,7,3,58,91
sinclair1995climatology.md,0,0,0,0,0,8,0,0,0,0,288
zscheischler2018future.md,4,0,0,32,0,0,0,0,0,0,2
martinez2014cold.md,16,15,6,8,53,0,0,0,0,0,145
padilhareinke2026characterization.md,2,0,3,7,27,8,10,0,0,0,157
gentile2023observed.md,87,28,3,1,16,0,0,0,4,0,101
hoskins2005new.md,0,0,0,0,32,12,12,20,0,0,38
mendes2010climatology.md,0,0,0,1,11,20,16,0,0,0,126
neu2013intercomparison.md,0,0,0,1,0,0,0,0,0,0,236
hyeok2024extrem.md,0,10,0,3,22,0,0,0,2,0,107
dossantos2023response.md,3,0,0,1,1,36,0,0,0,0,30
bretherton1992intercomparison.md,0,0,0,0,0,0,0,0,0,0,0
deSouza2025CycloPhaser.md,1,0,0,2,0,1,0,0,0,0,43
chen2025characteristics.md,1,16,0,160,54,0,0,0,0,0,78
sun2022evaluation.md,0,0,0,162,205,0,0,0,0,0,0
graf2017objective.md,0,2,0,13,55,0,1,0,0,10,117
laurila2021characteristics.md,7,12,12,5,48,0,0,2,0,0,246
browning1986conceptual.md,0,0,0,0,0,0,0,0,0,0,0
dalanhese2023new.md,1,1,0,3,14,21,14,0,0,0,80
